Id,Room_Number,Room_Type,Capacity,Campus,Building_Code,Building_Name,Capacity_Category
0001_01_1.264,1.264,Lecture Theatre,150,Central,1,Old College,Very Large (101-200)
0001_01_1.265,1.265,Boardroom Style,22,Central,1,Old College,Medium (21-50)
0001_01_1.266,1.266,Boardroom Style,24,Central,1,Old College,Medium (21-50)
0001_01_1.267,1.267,Boardroom Style,26,Central,1,Old College,Medium (21-50)
0001_01_1.270,1.270,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_01_1.273,1.273,Boardroom Style,22,Central,1,Old College,Medium (21-50)
0001_01_1.274,1.274,Boardroom Style,22,Central,1,Old College,Medium (21-50)
0001_01_1.275,1.275,Boardroom Style,30,Central,1,Old College,Medium (21-50)
0001_02_2.343,2.343,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_02_2.345,2.345,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_02_2.347,2.347,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_02_2.349,2.349,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_02_2.351,2.351,Boardroom Style,16,Central,1,Old College,Small (1-20)
0001_00_G.158,G.158,Boardroom Style,30,Central,1,Old College,Medium (21-50)
0001_00_G.159,G.159,Classroom Style,108,Central,1,Old College,Very Large (101-200)
0003_01_1.01,1.01,Classroom Style,23,Central,3,7-8 Chambers Street,Medium (21-50)
0003_01_1.02,1.02,Classroom Style,24,Central,3,7-8 Chambers Street,Medium (21-50)
0003_01_1.03,1.03,Classroom Style,24,Central,3,7-8 Chambers Street,Medium (21-50)
0003_01_1.04,1.04,Classroom Style,19,Central,3,7-8 Chambers Street,Small (1-20)
0003_01_1.05,1.05,Boardroom Style,12,Central,3,7-8 Chambers Street,Small (1-20)
0003_00_G.01,G.01,Classroom Style,20,Central,3,7-8 Chambers Street,Small (1-20)
0003_00_G.02,G.02,Classroom Style,24,Central,3,7-8 Chambers Street,Medium (21-50)
0003_00_G.03,G.03,Classroom Style,18,Central,3,7-8 Chambers Street,Small (1-20)
0003_00_G.04,G.04,Boardroom Style,12,Central,3,7-8 Chambers Street,Small (1-20)
0005_-1_B.01,B.01,Lecture Theatre,164,Central,5,Adam House,Very Large (101-200)
0008_02_2.365,2.365,Boardroom Style,16,Central,8,Minto House,Small (1-20)
0008_02_2.403,2.403,Classroom Style,45,Central,8,Minto House,Medium (21-50)
0008_-1_B.152,B.152,Classroom Style,14,Central,8,Minto House,Small (1-20)
0008_-1_B.153,B.153,Boardroom Style,15,Central,8,Minto House,Small (1-20)
0008_-1_B.154,B.154,Classroom Style,15,Central,8,Minto House,Small (1-20)
0008_00_G.251,G.251,Classroom Style,24,Central,8,Minto House,Medium (21-50)
0008_00_G.252,G.252,Boardroom Style,16,Central,8,Minto House,Small (1-20)
0103_01_1.B04,1.B04,Classroom Style,20,Central,103,Forresthill,Small (1-20)
0103_01_1.B09,1.B09,Boardroom Style,16,Central,103,Forresthill,Small (1-20)
0103_01_1.B10,1.B10,Classroom Style,20,Central,103,Forresthill,Small (1-20)
0103_01_1.B15,1.B15,Classroom Style,16,Central,103,Forresthill,Small (1-20)
0103_01_1.B19,1.B19,Boardroom Style,20,Central,103,Forresthill,Small (1-20)
0103_03_3.D02,3.D02,Classroom Style,40,Central,103,Forresthill,Medium (21-50)
0110_02_2.01,2.01,Classroom Style,25,Central,110,Alison House,Medium (21-50)
0110_02_2.02,2.02,Boardroom Style,15,Central,110,Alison House,Small (1-20)
0110_02_2.04,2.04,Classroom Style,42,Central,110,Alison House,Medium (21-50)
0110_02_2.07,2.07,Boardroom Style,12,Central,110,Alison House,Small (1-20)
0112_-1_B.01,B.01,Classroom Style,35,Central,112,Chrystal MacMillan Building,Medium (21-50)
0112_-1_B.02,B.02,Classroom Style,40,Central,112,Chrystal MacMillan Building,Medium (21-50)
0112_-1_B.06,B.06,Classroom Style,25,Central,112,Chrystal MacMillan Building,Medium (21-50)
0112_00_G.01,G.01,Classroom Style,55,Central,112,Chrystal MacMillan Building,Large (51-100)
0112_00_G.02,G.02,Classroom Style,55,Central,112,Chrystal MacMillan Building,Large (51-100)
0113_01M_01M.19,01M.19,Classroom Style,14,Central,113,"Medical School, Teviot",Small (1-20)
0113_01M_01M.20,01M.20,Boardroom Style,12,Central,113,"Medical School, Teviot",Small (1-20)
0113_01M_01M.27,01M.27,Boardroom Style,12,Central,113,"Medical School, Teviot",Small (1-20)
0113_01M_01M.469,01M.469,Classroom Style,40,Central,113,"Medical School, Teviot",Medium (21-50)
0113_01M_01M.473,01M.473,Classroom Style,48,Central,113,"Medical School, Teviot",Medium (21-50)
0113_01M_01M.474,01M.474,Classroom Style,10,Central,113,"Medical School, Teviot",Small (1-20)
0113_02M_02M.24,02M.24,Boardroom Style,10,Central,113,"Medical School, Teviot",Small (1-20)
0113_01_1.26,1.26,Boardroom Style,10,Central,113,"Medical School, Teviot",Small (1-20)
0113_01_1.416,1.416,Classroom Style,40,Central,113,"Medical School, Teviot",Medium (21-50)
0113_01_1.42,1.42,Classroom Style,20,Central,113,"Medical School, Teviot",Small (1-20)
0113_01_1.425,1.425,Lecture Theatre,260,Central,113,"Medical School, Teviot",Extra Large (200+)
0113_01_1.434,1.434,Classroom Style,28,Central,113,"Medical School, Teviot",Medium (21-50)
0113_02_2.26,2.26,Classroom Style,12,Central,113,"Medical School, Teviot",Small (1-20)
0113_02_2.27,2.27,Boardroom Style,12,Central,113,"Medical School, Teviot",Small (1-20)
0113_03_3.3,3.3,Boardroom Style,10,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.03,G.03,Classroom Style,50,Central,113,"Medical School, Teviot",Medium (21-50)
0113_00_G.07,G.07,Lecture Theatre,170,Central,113,"Medical School, Teviot",Very Large (101-200)
0113_00_G.09,G.09,Boardroom Style,15,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.10,G.10,Boardroom Style,15,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.11,G.11,Boardroom Style,15,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.12,G.12,Boardroom Style,15,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.13,G.13,Boardroom Style,26,Central,113,"Medical School, Teviot",Medium (21-50)
0113_00_G.14,G.14,Boardroom Style,26,Central,113,"Medical School, Teviot",Medium (21-50)
0113_00_G.15,G.15,Classroom Style,29,Central,113,"Medical School, Teviot",Medium (21-50)
0113_00_G.152,G.152,Lecture Theatre,200,Central,113,"Medical School, Teviot",Very Large (101-200)
0113_00_G.16,G.16,Classroom Style,45,Central,113,"Medical School, Teviot",Medium (21-50)
0113_00_G.199,G.199,Boardroom Style,8,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.200,G.200,Boardroom Style,16,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.202B,G.202B,Boardroom Style,12,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.203,G.203,Classroom Style,20,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.204,G.204,Classroom Style,20,Central,113,"Medical School, Teviot",Small (1-20)
0113_00_G.205,G.205,Boardroom Style,14,Central,113,"Medical School, Teviot",Small (1-20)
0422_J_J.03,J.03,Classroom Style,60,Central,113,"Medical School, Teviot",Large (51-100)
0422_J_J.05,J.05,Classroom Style,60,Central,113,"Medical School, Teviot",Large (51-100)
0131_04_4.07,4.07,Lecture Theatre,110,Central,131,13-15 South College Street,Very Large (101-200)
0201_01_1.01,1.01,Boardroom Style,20,Central,201,Appleton Tower,Small (1-20)
0201_01_1.05,1.05,Boardroom Style,20,Central,201,Appleton Tower,Small (1-20)
0201_01_1.06,1.06,Lecture Theatre,300,Central,201,Appleton Tower,Extra Large (200+)
0201_01_1.08,1.08,Lecture Theatre,307,Central,201,Appleton Tower,Extra Large (200+)
0201_02_2.04,2.04,Classroom Style,24,Central,201,Appleton Tower,Medium (21-50)
0201_02_2.05,2.05,Classroom Style,24,Central,201,Appleton Tower,Medium (21-50)
0201_02_2.06,2.06,Classroom Style,18,Central,201,Appleton Tower,Small (1-20)
0201_02_2.07,2.07,Classroom Style,20,Central,201,Appleton Tower,Small (1-20)
0201_02_2.11,2.11,Classroom Style,28,Central,201,Appleton Tower,Medium (21-50)
0201_02_2.12,2.12,Classroom Style,54,Central,201,Appleton Tower,Large (51-100)
0201_02_2.14,2.14,Classroom Style,54,Central,201,Appleton Tower,Large (51-100)
0201_00_G.05,G.05,Boardroom Style,20,Central,201,Appleton Tower,Small (1-20)
0201_00_G.06,G.06,Lecture Theatre,193,Central,201,Appleton Tower,Very Large (101-200)
0201_00_G.07,G.07,Lecture Theatre,194,Central,201,Appleton Tower,Very Large (101-200)
0201_00_G.08,G.08,Lecture Theatre,193,Central,201,Appleton Tower,Very Large (101-200)
0208_00_G.8,G.8,Lecture Theatre,64,Central,208,1 George Square (Neuroscience),Large (51-100)
