Week Number,Date Commencing,Week Label,Week Type,Date Ending,Academic Year
8,2024-09-09,Sem1 - Welcome Week,Welcome Week,2024-09-15,2024/2025
9,2024-09-16,Sem1 - Week1,Other,2024-09-22,2024/2025
10,2024-09-23,Sem1 - Week2,Other,2024-09-29,2024/2025
11,2024-09-30,Sem1 - Week3,Other,2024-10-06,2024/2025
12,2024-10-07,Sem1 - Week4,Other,2024-10-13,2024/2025
13,2024-10-14,Sem1 - Week5,Other,2024-10-20,2024/2025
14,2024-10-21,Sem1 - Week6,Other,2024-10-27,2024/2025
15,2024-10-28,Sem1 - Week7,Other,2024-11-03,2024/2025
16,2024-11-04,Sem1 - Week8,Other,2024-11-10,2024/2025
17,2024-11-11,Sem1 - Week9,Other,2024-11-17,2024/2025
18,2024-11-18,Sem1 - Week10,Other,2024-11-24,2024/2025
19,2024-11-25,Sem1 - Week11,Other,2024-12-01,2024/2025
