Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:96XCWW2M9V,Accountancy 1A - Tutorial/02,18.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_01_1.9,Lister Learning and Teaching Centre,Tuesday 11:00,50,0103_01_1.B19,1.B19,Central,Forresthill,20,Boardroom Style,False,90.0,False
E:XT1KZOCGA6,Planning for a start-up - Tutorial/01,25.0,Central,2,"15, 19","[15, 19]",0228_-1_LG.10,40 George Square Lower Teaching Hub,Wednesday 10:00,110,0450_03_3.42,3.42,Central,Edinburgh Futures Institute (EFI),8,Specialist Room,False,312.5,True
E:NB1S2PULQP,Psychological Well-being and Business - Tutorial/01,20.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Monday 09:00,110,0335_00_G.12,G.12,Central,Lister Learning and Teaching Centre,17,Boardroom Style,False,117.65,True
E:QGLQZOQGIF,Marketing - Tutorial/07,14.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0113_00_G.205,"Medical School, Teviot",Tuesday 15:00,50,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,9.33,False
E:Y2SNRCC5RT,"Mergers, Acquisitions, and Corporate Restructuring - Lecture",120.0,Central,2,"9, 17","[9, 17]",LectureTheatre_ChambersStreetMuseum,Hired Space - Contingency,Monday 11:00,110,0228_09_9.18,9.18,Central,40 George Square,25,Classroom Style,False,480.0,True
E:BL11YDBTOH,Introduction to Corporate Finance - Q&A Session,180.0,Central,2,"12, 19","[12, 19]",0227_00_G.03,50 George Square,Tuesday 15:00,50,0335_01_1.1,1.1,Central,Lister Learning and Teaching Centre,25,Classroom Style,False,720.0,True
E:SY5JC9VI2Z,Business Economics - Tutorial/05,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Monday 16:00,50,0254_01_1.06,1.06,Central,24 Buccleuch Place,12,Boardroom Style,False,133.33,True
E:NABDT4QRFR,Accounting for Business 1 - Tutorial/08,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Wednesday 09:00,50,0551_-1_LG46,LG46,Holyrood,Patersons Land,16,Boardroom Style,True,100.0,False
E:FZAVNXQKS8,Business and Sustainability - Seminar/03,30.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0226_01_1.07,Business School,Friday 09:00,110,0422_L_L.06,L.06,Lauriston,North-East Studio Building,16,Boardroom Style,True,187.5,True
E:4BQTRUC7RH,Accountancy 2A - Tutorial/07,13.0,Holyrood,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0551_-1_LG45,Patersons Land,Tuesday 14:00,50,0113_01M_01M.19,01M.19,Central,"Medical School, Teviot",14,Classroom Style,True,92.86,False
