Room,Campus,Capacity,Events_Assigned,Utilization_%
0001_01_1.264,Central,150,850,4250.0
0005_-1_B.01,Central,164,765,3825.0
0001_01_1.273,Central,22,764,3820.0
0001_00_G.159,Central,108,750,3750.0
0001_01_1.267,Central,26,718,3590.0
0001_01_1.270,Central,16,713,3565.0
0001_01_1.266,Central,24,709,3545.0
0001_01_1.265,Central,22,675,3375.0
0001_01_1.275,Central,30,656,3280.0
0112_00_G.01,Central,55,640,3200.0
0008_02_2.403,Central,45,634,3170.0
0001_00_G.158,Central,30,600,3000.0
0113_01_1.425,Central,260,599,2995.0
0113_00_G.07,Central,170,588,2940.0
0225_02_2.201,Central,458,569,2845.0
0001_01_1.274,Central,22,569,2845.0
0001_02_2.345,Central,16,536,2680.0
0103_03_3.D02,Central,40,531,2655.0
0112_00_G.02,Central,55,518,2590.0
0112_-1_B.02,Central,40,518,2590.0
0422_J_J.05,Central,60,512,2560.0
0003_01_1.01,Central,23,510,2550.0
0001_02_2.343,Central,16,509,2545.0
0003_01_1.03,Central,24,491,2455.0
0113_00_G.152,Central,200,488,2440.0
0113_01M_01M.473,Central,48,486,2430.0
0110_02_2.04,Central,42,481,2405.0
0113_00_G.03,Central,50,478,2390.0
0003_01_1.02,Central,24,477,2385.0
0112_-1_B.01,Central,35,463,2315.0
0001_02_2.347,Central,16,456,2280.0
0201_01_1.06,Central,300,452,2260.0
0201_01_1.08,Central,307,452,2260.0
0113_01_1.434,Central,28,450,2250.0
0201_02_2.12,Central,54,450,2250.0
0113_01M_01M.469,Central,40,449,2245.0
0001_02_2.349,Central,16,445,2225.0
0003_00_G.02,Central,24,444,2220.0
0201_00_G.06,Central,193,438,2190.0
0131_04_4.07,Central,110,438,2190.0
0113_01_1.416,Central,40,438,2190.0
0226_-1_LG.11,Central,66,437,2185.0
0003_00_G.03,Central,18,434,2170.0
0001_02_2.351,Central,16,428,2140.0
0113_00_G.16,Central,45,427,2135.0
0003_01_1.04,Central,19,421,2105.0
0110_02_2.01,Central,25,417,2085.0
0003_00_G.01,Central,20,415,2075.0
0008_00_G.251,Central,24,411,2055.0
0226_00_GF.14,Central,147,410,2050.0
0228_-1_LG.11,Central,78,409,2045.0
0103_01_1.B04,Central,20,408,2040.0
0113_00_G.15,Central,29,404,2020.0
0008_02_2.365,Central,16,404,2020.0
0228_-1_LG.09,Central,96,401,2005.0
0214_00_G.02,Central,40,398,1990.0
0226_-1_LG.10,Central,72,392,1960.0
0229_01_1.A,Central,350,391,1955.0
0422_J_J.03,Central,60,390,1950.0
0226_01_1.02,Central,50,388,1940.0
0208_00_G.8,Central,64,384,1920.0
0226_-1_LG.14,Central,68,384,1920.0
0201_02_2.14,Central,54,380,1900.0
0201_02_2.11,Central,28,378,1890.0
0103_01_1.B10,Central,20,370,1850.0
0228_-1_LG.08,Central,36,366,1830.0
0214_00_G.22,Central,18,366,1830.0
0201_00_G.07,Central,194,363,1815.0
0103_01_1.B19,Central,20,360,1800.0
0226_-1_LG.18,Central,66,357,1785.0
0227_00_G.03,Central,255,356,1780.0
0210_00_G.04,Central,139,354,1770.0
0229_01_1.C,Central,250,352,1760.0
0227_00_G.04,Central,100,352,1760.0
0008_-1_B.152,Central,14,352,1760.0
0226_-1_LG.19,Central,70,350,1750.0
0113_00_G.14,Central,26,349,1745.0
0112_-1_B.06,Central,25,344,1720.0
0229_01_1.B,Central,250,342,1710.0
0209_02_2.01,Central,70,341,1705.0
0214_01_1.10,Central,18,341,1705.0
0227_00_G.06,Central,64,340,1700.0
0227_02_2.54,Central,18,339,1695.0
0209_01_1.21,Central,125,338,1690.0
0311_02_2.13,Central,80,338,1690.0
0214_01_1.01,Central,20,337,1685.0
0226_01_1.07,Central,48,336,1680.0
0227_02_2.03,Central,18,333,1665.0
0227_03_3.39,Central,18,332,1660.0
0008_-1_B.153,Central,15,331,1655.0
0113_01_1.42,Central,20,328,1640.0
0201_00_G.08,Central,193,327,1635.0
0201_02_2.05,Central,24,325,1625.0
0228_-1_LG.06,Central,35,325,1625.0
0201_02_2.04,Central,24,323,1615.0
0201_02_2.06,Central,18,319,1595.0
0335_00_G.13,Central,48,318,1590.0
0003_00_G.04,Central,12,318,1590.0
0228_-1_LG.10,Central,36,317,1585.0
0201_01_1.01,Central,20,317,1585.0
0201_00_G.05,Central,20,317,1585.0
0113_00_G.204,Central,20,314,1570.0
0283_03_3.10,Central,56,312,1560.0
0008_00_G.252,Central,16,312,1560.0
0008_-1_B.154,Central,15,312,1560.0
0335_02_2.3,Central,40,310,1550.0
0227_03_3.03,Central,18,309,1545.0
0300_00_NG.01,Central,36,308,1540.0
0113_00_G.203,Central,20,308,1540.0
0003_01_1.05,Central,12,307,1535.0
0201_02_2.07,Central,20,305,1525.0
0227_03_3.54,Central,18,303,1515.0
0113_00_G.13,Central,26,302,1510.0
0201_01_1.05,Central,20,293,1465.0
0219_00_G.02,Central,24,289,1445.0
0227_00_G.01,Central,30,288,1440.0
0227_00_G.02,Central,36,288,1440.0
0103_01_1.B09,Central,16,288,1440.0
0335_00_G.09,Central,32,288,1440.0
0450_02_2.35,Central,128,287,1435.0
0227_00_G.05,Central,44,286,1430.0
0283_01_1.20,Central,46,284,1420.0
0209_02_2.37,Central,30,283,1415.0
0228_06_6.11,Central,24,282,1410.0
0113_00_G.200,Central,16,282,1410.0
0335_00_G.01,Central,120,281,1405.0
0335_02_2.18,Central,16,281,1405.0
0450_02_2.55,Central,68,278,1390.0
0335_05_5.1,Central,25,277,1385.0
0335_01_1.2,Central,44,275,1375.0
0335_03_3.3,Central,40,274,1370.0
0227_02_2.39,Central,18,273,1365.0
0335_03_3.2,Central,40,272,1360.0
0311_04_4.09,Central,16,271,1355.0
0228_11_11.18,Central,24,269,1345.0
0335_02_2.1,Central,25,269,1345.0
0228_07_7.01,Central,18,269,1345.0
0335_04_4.3,Central,60,268,1340.0
0335_04_4.1,Central,30,267,1335.0
0335_00_G.12,Central,17,267,1335.0
0335_05_5.3,Central,50,265,1325.0
0313_00_G.10,Central,36,264,1320.0
0228_11_11.10,Central,36,263,1315.0
0103_01_1.B15,Central,16,263,1315.0
0335_00_G.10,Central,32,262,1310.0
0335_02_2.2,Central,44,260,1300.0
0335_05_5.2,Central,32,260,1300.0
0335_03_3.1,Central,25,260,1300.0
0228_03_3.01,Central,24,258,1290.0
0283_01_1.17,Central,26,257,1285.0
0300_00_NG.04,Central,16,257,1285.0
0228_11_11.06,Central,18,255,1275.0
0300_00_NG.03,Central,16,255,1275.0
0300_00_NG.02,Central,36,254,1270.0
0251_01_1.02,Central,28,252,1260.0
0311_02_2.01,Central,22,251,1255.0
0335_01_1.3,Central,30,249,1245.0
0228_11_11.01,Central,16,246,1230.0
0219_00_G.01,Central,16,244,1220.0
0228_09_9.01,Central,16,241,1205.0
0335_02_2.4,Central,16,241,1205.0
0311_02_2.05,Central,31,239,1195.0
0335_03_3.4,Central,16,239,1195.0
0335_01_1.1,Central,25,238,1190.0
0335_04_4.2,Central,32,238,1190.0
0251_01_1.01,Central,28,236,1180.0
0228_09_9.18,Central,25,235,1175.0
0110_02_2.02,Central,15,235,1175.0
0254_01_1.08,Central,16,235,1175.0
0335_01_1.4,Central,16,234,1170.0
0254_01_1.03,Central,16,233,1165.0
0228_07_7.18,Central,24,228,1140.0
0228_04_4.18,Central,25,224,1120.0
0254_01_1.04,Central,16,224,1120.0
0335_01_1.9,Central,32,213,1065.0
0113_01M_01M.19,Central,14,211,1055.0
0110_02_2.07,Central,12,204,1020.0
0113_00_G.10,Central,15,200,1000.0
0113_00_G.09,Central,15,196,980.0
0227_02_2.14,Central,15,169,845.0
0227_02_2.29,Central,15,155,775.0
0113_01M_01M.20,Central,12,150,750.0
0113_00_G.12,Central,15,146,730.0
0113_00_G.205,Central,14,144,720.0
0113_00_G.11,Central,15,134,670.0
0113_01M_01M.27,Central,12,133,665.0
0227_03_3.14,Central,15,132,660.0
0228_13_13.07,Central,15,131,655.0
0228_08_8.16,Central,15,130,650.0
0113_00_G.202B,Central,12,126,630.0
0113_02_2.27,Central,12,123,615.0
0228_01_1.01,Central,14,119,595.0
0227_03_3.29,Central,15,118,590.0
0113_02M_02M.24,Central,10,118,590.0
0228_06_6.10,Central,13,110,550.0
0228_06_6.14,Central,12,110,550.0
0254_01_1.07,Central,12,110,550.0
0228_06_6.05,Central,14,107,535.0
0254_01_1.10,Central,14,107,535.0
0214_00_G.23,Central,10,106,530.0
0228_11_11.11,Central,15,104,520.0
0228_12_12.18,Central,13,104,520.0
0214_00_G.26,Central,12,98,490.0
0254_01_1.06,Central,12,98,490.0
0113_02_2.26,Central,12,97,485.0
0254_01_1.12,Central,10,96,480.0
0228_01_1.18,Central,12,94,470.0
0450_03_3.43,Central,12,94,470.0
0113_00_G.199,Central,8,92,460.0
0254_01_1.09,Central,8,92,460.0
0311_04_4.08,Central,14,90,450.0
0450_01_1.62,Central,12,90,450.0
0450_03_3.32,Central,12,90,450.0
0254_01_1.5A,Central,8,88,440.0
0228_08_8.13,Central,15,87,435.0
0335_00_G.17,Central,14,86,430.0
0214_01_1.22,Central,12,86,430.0
0227_02_2.13,Central,10,84,420.0
0113_01_1.26,Central,10,82,410.0
0228_02_2.18,Central,12,80,400.0
0283_01_1.01,Central,12,80,400.0
0450_03_3.62,Central,12,80,400.0
0227_02_2.30,Central,10,73,365.0
0227_03_3.13,Central,10,73,365.0
0113_01M_01M.474,Central,10,69,345.0
0227_03_3.30,Central,10,66,330.0
0450_03_3.42,Central,8,66,330.0
0113_03_3.3,Central,10,65,325.0
0254_01_1.01,Central,8,64,320.0
0450_03_3.63,Central,8,60,300.0
0450_01_1.63,Central,8,44,220.0
0450_02_2.63,Central,8,42,210.0
0421_E_E.22,Lauriston,218,112,560.0
0423_O_O.17,Lauriston,78,32,160.0
