Week,Day,Time,Event_ID,Event_Name,Room,Campus,Orig_Campus,From_Holyrood,Size,Room_Capacity,Util_%
8,Monday,14:30,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,14:30,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Monday,15:00,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,15:00,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Monday,15:30,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,15:30,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Monday,16:00,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,16:00,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Monday,16:30,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,16:30,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Monday,17:00,E:63L5URNO4E,C&P - Tutorial/English,0001_01_1.266,Central,Holyrood,True,21,24,87.5
8,Monday,17:00,E:IFCJTX78DO,C&P - Tutorial/Languages,0001_01_1.270,Central,Holyrood,True,10,16,62.5
8,Thursday,09:00,E:LDWIFCTWDB,PGDE Secondary - Professional Studies Tutorial/04,0112_-1_B.01,Central,Holyrood,True,30,35,85.7
8,Thursday,09:30,E:LDWIFCTWDB,PGDE Secondary - Professional Studies Tutorial/04,0112_-1_B.01,Central,Holyrood,True,30,35,85.7
8,Thursday,10:00,E:LDWIFCTWDB,PGDE Secondary - Professional Studies Tutorial/04,0112_-1_B.01,Central,Holyrood,True,30,35,85.7
8,Thursday,10:30,E:LDWIFCTWDB,PGDE Secondary - Professional Studies Tutorial/04,0112_-1_B.01,Central,Holyrood,True,30,35,85.7
8,Tuesday,09:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,09:00,E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,0112_-1_B.02,Central,Holyrood,True,30,40,75.0
8,Tuesday,09:00,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,09:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,09:30,E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,0112_-1_B.02,Central,Holyrood,True,30,40,75.0
8,Tuesday,09:30,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,10:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,10:00,E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,0112_-1_B.02,Central,Holyrood,True,30,40,75.0
8,Tuesday,10:00,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,10:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,10:30,E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,0112_-1_B.02,Central,Holyrood,True,30,40,75.0
8,Tuesday,10:30,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,11:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,11:00,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,11:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,11:30,E:63L5URNO4E-00002,C&P - Tutorial/English,0003_01_1.02,Central,Holyrood,True,21,24,87.5
8,Tuesday,12:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,12:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,12:30,E:KE4E4TS5P9-00001,Dimensions of Teaching - Workshop/01,0005_-1_B.01,Central,Holyrood,True,30,164,18.3
8,Tuesday,12:30,E:KUD2AHUU2X-00001,Dimensions of Teaching - Workshop/04,0008_02_2.403,Central,Holyrood,True,30,45,66.7
8,Tuesday,12:30,E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Tuesday,13:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,13:00,E:KE4E4TS5P9-00001,Dimensions of Teaching - Workshop/01,0005_-1_B.01,Central,Holyrood,True,30,164,18.3
8,Tuesday,13:00,E:KUD2AHUU2X-00001,Dimensions of Teaching - Workshop/04,0008_02_2.403,Central,Holyrood,True,30,45,66.7
8,Tuesday,13:00,E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Tuesday,13:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,13:30,E:KE4E4TS5P9-00001,Dimensions of Teaching - Workshop/01,0005_-1_B.01,Central,Holyrood,True,30,164,18.3
8,Tuesday,13:30,E:KUD2AHUU2X-00001,Dimensions of Teaching - Workshop/04,0008_02_2.403,Central,Holyrood,True,30,45,66.7
8,Tuesday,13:30,E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Tuesday,14:00,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,14:00,E:KE4E4TS5P9-00001,Dimensions of Teaching - Workshop/01,0005_-1_B.01,Central,Holyrood,True,30,164,18.3
8,Tuesday,14:00,E:KUD2AHUU2X-00001,Dimensions of Teaching - Workshop/04,0008_02_2.403,Central,Holyrood,True,30,45,66.7
8,Tuesday,14:00,E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Tuesday,14:30,E:KKZ2JU3VEX,C&P - Tutorial/History,0001_01_1.265,Central,Holyrood,True,15,22,68.2
8,Tuesday,14:30,E:RSINEVUDKQ-00002,C&P (Second Subject) - Language Workshop,0001_01_1.270,Central,Holyrood,True,14,16,87.5
8,Tuesday,15:00,E:RSINEVUDKQ-00002,C&P (Second Subject) - Language Workshop,0001_01_1.270,Central,Holyrood,True,14,16,87.5
8,Tuesday,15:30,E:RSINEVUDKQ-00002,C&P (Second Subject) - Language Workshop,0001_01_1.270,Central,Holyrood,True,14,16,87.5
8,Tuesday,16:00,E:RSINEVUDKQ-00002,C&P (Second Subject) - Language Workshop,0001_01_1.270,Central,Holyrood,True,14,16,87.5
8,Wednesday,09:00,E:NEEUFMJVLA,Curriculum Plus 2 - Tutorial/EAL,0001_01_1.266,Central,Holyrood,True,15,24,62.5
8,Wednesday,09:00,E:HFRUV84N1S,Curriculum Plus 2 - Tutorial/Critical Literacy,0003_01_1.01,Central,Holyrood,True,15,23,65.2
8,Wednesday,09:00,E:RA5LMTZF4I,Curriculum Plus 2 - Tutorial/Philosophy with Young People,0003_00_G.02,Central,Holyrood,True,15,24,62.5
8,Wednesday,09:30,E:NEEUFMJVLA,Curriculum Plus 2 - Tutorial/EAL,0001_01_1.266,Central,Holyrood,True,15,24,62.5
8,Wednesday,09:30,E:HFRUV84N1S,Curriculum Plus 2 - Tutorial/Critical Literacy,0003_01_1.01,Central,Holyrood,True,15,23,65.2
8,Wednesday,09:30,E:RA5LMTZF4I,Curriculum Plus 2 - Tutorial/Philosophy with Young People,0003_00_G.02,Central,Holyrood,True,15,24,62.5
8,Wednesday,10:00,E:NEEUFMJVLA,Curriculum Plus 2 - Tutorial/EAL,0001_01_1.266,Central,Holyrood,True,15,24,62.5
8,Wednesday,10:00,E:HFRUV84N1S,Curriculum Plus 2 - Tutorial/Critical Literacy,0003_01_1.01,Central,Holyrood,True,15,23,65.2
8,Wednesday,10:00,E:RA5LMTZF4I,Curriculum Plus 2 - Tutorial/Philosophy with Young People,0003_00_G.02,Central,Holyrood,True,15,24,62.5
8,Wednesday,10:30,E:NEEUFMJVLA,Curriculum Plus 2 - Tutorial/EAL,0001_01_1.266,Central,Holyrood,True,15,24,62.5
8,Wednesday,10:30,E:HFRUV84N1S,Curriculum Plus 2 - Tutorial/Critical Literacy,0003_01_1.01,Central,Holyrood,True,15,23,65.2
8,Wednesday,10:30,E:RA5LMTZF4I,Curriculum Plus 2 - Tutorial/Philosophy with Young People,0003_00_G.02,Central,Holyrood,True,15,24,62.5
8,Wednesday,12:30,E:C16HU79D3S,PGDE Secondary - Professional Studies Tutorial/02,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Wednesday,13:00,E:C16HU79D3S,PGDE Secondary - Professional Studies Tutorial/02,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Wednesday,13:30,E:C16HU79D3S,PGDE Secondary - Professional Studies Tutorial/02,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
8,Wednesday,14:00,E:C16HU79D3S,PGDE Secondary - Professional Studies Tutorial/02,0103_03_3.D02,Central,Holyrood,True,30,40,75.0
9,Friday,09:00,E:UK5P9FS9C8,IFP - FEAP Entry A,0001_01_1.264,Central,Holyrood,True,16,150,10.7
9,Friday,09:00,E:BLK9PWD426,Introduction to Corporate Finance - Lecture,0113_01_1.425,Central,Central,False,180,260,69.2
9,Friday,09:00,E:CQY5B778ND,Economic Aspects of Competition Policy - Lecture,0001_00_G.159,Central,Central,False,50,108,46.3
9,Friday,09:00,E:GT9JY1GUEB,Researching Global Challenges 1 - Lecture,0113_00_G.07,Central,Central,False,70,170,41.2
9,Friday,09:00,E:2X6ZIPFKTW,"Mathematics, Statistics and Econometrics - Lecture",0005_-1_B.01,Central,Central,False,80,164,48.8
9,Friday,09:00,E:9OWPZQ6LK2-00003,Psychological Skills Placement - Lecture,0103_03_3.D02,Central,Central,False,35,40,87.5
9,Friday,09:00,E:UF14KJIVZT-00004,Interpersonal Psychotherapy (IPT) - Level A - Lecture,0112_00_G.01,Central,Central,False,40,55,72.7
9,Friday,09:30,E:UK5P9FS9C8,IFP - FEAP Entry A,0001_01_1.264,Central,Holyrood,True,16,150,10.7
9,Friday,09:30,E:BLK9PWD426,Introduction to Corporate Finance - Lecture,0113_01_1.425,Central,Central,False,180,260,69.2
